ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(6.7825e+07)","Runtime Improvement""""(3.52359e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
1052,19.51,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.50,16.87,68.84,54.98,22,"10988,    1,    1","   32,    8,    1"
1040,19.51,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.43,16.86,68.79,55.86,22,"10988,    1,    1","   32,    8,    1"
996,19.51,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.27,16.83,68.75,55.10,22,"10988,    1,    1","   32,    8,    1"
1024,19.51,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.50,16.87,68.71,54.98,22,"10988,    1,    1","   32,    8,    1"
1185,19.51,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.76,20.63,52.19,90.53,40,"10988,    2,    1","  256,    1,    1"
1229,19.50,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.73,20.62,52.33,90.51,40,"10988,    2,    1","  256,    1,    1"
1076,19.50,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.43,16.85,68.78,54.99,22,"10988,    1,    1","   32,    8,    1"
1032,19.49,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.66,16.89,68.68,54.84,22,"10988,    1,    1","   32,    8,    1"
1264,19.49,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,113.38,22.10,46.59,85.42,38,"10988,    2,    1","  256,    1,    1"
1217,19.49,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.25,20.51,52.28,90.95,40,"10988,    2,    1","  256,    1,    1"
1044,19.49,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.59,16.87,68.72,54.89,22,"10988,    1,    1","   32,    8,    1"
1060,19.48,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.69,16.89,68.73,54.87,22,"10988,    1,    1","   32,    8,    1"
1189,19.48,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.70,20.59,52.26,90.53,40,"10988,    2,    1","  256,    1,    1"
1012,19.48,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.59,16.87,68.70,54.92,22,"10988,    1,    1","   32,    8,    1"
1284,19.48,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,114.66,22.34,46.69,84.40,38,"10988,    2,    1","  256,    1,    1"
1020,19.48,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.34,16.82,68.71,55.06,22,"10988,    1,    1","   32,    8,    1"
1253,19.48,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.63,20.57,52.15,90.58,40,"10988,    2,    1","  256,    1,    1"
1241,19.47,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.25,20.49,52.30,90.94,40,"10988,    2,    1","  256,    1,    1"
